person_age,person_income,person_emp_length,person_home_ownership,loan_intent,loan_amnt,loan_int_rate,credit_score,loan_status
59,77767,9,own,personal,32335,13.87,592,1
49,48054,17,own,personal,27162,5.44,706,0
35,95319,13,rent,home_improvement,24913,5.81,461,1
63,122789,17,rent,medical,25687,21.54,802,0
28,65397,7,own,business,34220,17.15,747,1
41,33233,9,own,home_improvement,11995,15.48,754,1
59,131205,12,rent,education,3631,23.89,564,0
39,110020,7,rent,debt_consolidation,35954,8.46,431,0
43,45068,3,mortgage,medical,6967,10.16,419,0
31,85727,3,rent,home_improvement,23758,20.13,518,0
31,110610,4,rent,home_improvement,22742,20.5,716,0
44,90453,0,mortgage,personal,38116,13.1,804,0
56,124135,16,mortgage,education,27580,24.02,599,0
60,45832,1,own,home_improvement,35227,23.77,408,1
44,128464,7,own,personal,2942,5.25,537,0
23,106242,6,rent,medical,29069,8.45,592,0
42,33682,14,mortgage,home_improvement,22806,21.4,486,0
22,112298,4,mortgage,business,15407,11.7,335,0
44,43383,1,own,business,15557,6.91,555,0
64,78160,6,own,personal,17445,20.7,734,0
50,113332,7,rent,business,18878,14.09,307,0
58,43666,6,mortgage,education,18564,14.85,477,0
22,78817,6,own,debt_consolidation,14093,8.73,541,1
41,111198,13,rent,business,36556,18.22,340,0
53,130695,17,rent,medical,27451,16.02,656,1
32,54642,5,rent,home_improvement,25086,9.13,412,1
42,61830,3,own,personal,17489,11.81,465,0
64,123067,9,own,home_improvement,29004,16.94,803,0
45,30234,17,own,debt_consolidation,21471,23.5,377,0
47,77616,11,own,home_improvement,27284,23.41,495,0
62,29221,15,own,home_improvement,37693,10.76,701,0
48,31410,6,mortgage,personal,19292,19.71,363,0
36,100055,5,mortgage,debt_consolidation,19433,20.51,724,0
35,81413,4,mortgage,medical,15568,21.18,341,0
64,21051,2,mortgage,personal,10466,16.42,672,1
23,130529,11,rent,debt_consolidation,26521,5.21,605,0
57,95301,14,rent,debt_consolidation,37672,20.23,508,0
27,96918,9,mortgage,home_improvement,16467,7.13,766,0
41,98116,19,own,education,33019,7.34,603,0
29,142226,18,mortgage,education,11419,17.11,691,0
59,76563,15,mortgage,medical,17676,24.67,452,0
38,117859,10,rent,home_improvement,30255,9.85,661,1
24,64757,7,own,education,32514,17.92,563,1
45,146169,2,rent,personal,23650,11.07,515,1
34,141008,6,own,medical,23754,22.97,842,0
29,97475,6,rent,home_improvement,13165,16.87,823,0
46,71257,13,mortgage,business,11683,9.15,493,0
22,115500,1,own,personal,33556,10.24,326,0
40,20307,9,rent,education,16442,13.65,345,0
48,76889,18,mortgage,education,5860,7.44,357,0
27,88895,8,rent,education,4729,6.57,312,0
64,115184,15,rent,education,32351,18.6,348,1
28,55944,18,rent,debt_consolidation,25346,13.14,393,0
55,119555,17,mortgage,business,9619,19.52,750,0
34,58134,8,own,medical,12164,7.2,678,0
37,47323,15,rent,medical,39878,17.2,309,1
56,136205,12,mortgage,education,7955,13.87,815,0
60,91762,9,rent,medical,1106,6.16,523,0
24,107225,19,own,business,5754,15.9,680,0
22,116507,13,rent,personal,22662,6.66,840,0
26,45954,11,mortgage,personal,7408,21.55,601,0
62,75021,18,rent,medical,2225,17.64,502,1
24,109959,6,rent,education,13196,16.14,495,1
49,115927,14,own,home_improvement,5250,7.67,621,0
38,99866,15,own,business,16372,10.75,717,0
46,90427,7,own,education,18279,14.86,641,0
64,24992,9,rent,debt_consolidation,31193,17.67,688,0
54,21961,3,mortgage,home_improvement,27868,8.66,308,1
30,32497,18,rent,business,39187,5.18,831,0
56,137551,18,rent,debt_consolidation,29475,11.9,448,0
34,52551,14,rent,medical,3433,14.66,682,0
51,96384,13,rent,debt_consolidation,11998,8.69,828,0
35,145374,0,own,medical,32133,14.84,311,1
28,75755,15,own,debt_consolidation,35069,11.77,775,0
34,33255,9,own,home_improvement,7858,14.1,352,0
43,24567,18,own,debt_consolidation,9950,11.95,735,0
60,68847,2,mortgage,education,9938,17.57,505,1
41,124817,4,rent,medical,26168,5.86,353,0
36,68003,8,rent,personal,33099,8.42,789,0
38,40389,17,rent,debt_consolidation,6644,13.66,643,0
44,64523,10,mortgage,medical,10260,12.13,468,1
46,143802,15,mortgage,personal,37075,12.83,460,0
45,81576,1,own,medical,17488,21.08,826,0
61,147342,11,rent,medical,1395,22.73,826,0
49,63919,5,rent,personal,11845,9.97,586,1
35,102103,10,mortgage,personal,37059,21.73,711,0
21,142443,7,rent,home_improvement,19394,14.18,821,1
45,23358,11,mortgage,business,29457,10.48,498,1
27,108535,1,own,debt_consolidation,38305,24.71,460,0
29,127894,8,mortgage,debt_consolidation,22352,21.5,688,0
44,141485,14,rent,medical,22146,24.89,773,0
21,96524,1,mortgage,education,18435,8.36,680,0
64,143416,0,mortgage,education,38491,7.88,423,1
28,125982,9,own,business,20968,15.07,371,1
44,117057,1,rent,medical,9539,17.77,467,0
31,25698,11,rent,home_improvement,2263,8.42,583,0
37,86809,7,own,personal,14305,22.21,793,0
28,113079,4,mortgage,medical,25398,15.64,335,0
55,75805,0,mortgage,debt_consolidation,33080,13.22,474,0
